行业代码,行业名称,is_120h,volume_surge,成交额暴增倍数,近20日涨幅,ma20_up,最新收盘价,数据日期
sw2_640700,自动化设备,1,1,1.698,23.9705,1,25104.23,2026-05-22
sw2_270300,光学光电子,1,1,1.6034,11.8229,1,2084.2,2026-05-22
