date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2024-12-02,000423,57.79,58.23,58.49,57.48,45572,264636237.51,1.74,0.52,0.3,0.71
2024-12-03,000423,58.23,58.28,58.48,57.75,33755,196326981.08,1.25,0.09,0.05,0.52
2024-12-04,000423,58.1,58.43,59.45,58.07,43160,253228306.4,2.37,0.26,0.15,0.67
2024-12-05,000423,58.31,57.44,58.43,57.15,42735,245457826.81,2.19,-1.69,-0.99,0.66
2024-12-06,000423,57.37,57.51,58.15,57.21,48418,279121690.91,1.64,0.12,0.07,0.75
2024-12-09,000423,57.68,57.43,58.18,56.82,38194,220043335.8,2.36,-0.14,-0.08,0.59
2024-12-10,000423,58.55,58.11,59.56,57.75,64389,376988822.81,3.15,1.18,0.68,1.0
2024-12-11,000423,58.1,58.62,58.98,57.91,35281,207010756.77,1.84,0.88,0.51,0.55
2024-12-12,000423,58.63,60.48,60.72,58.33,71497,428336595.04,4.08,3.17,1.86,1.11
2024-12-13,000423,60.01,59.95,60.87,59.13,68617,411538463.1,2.88,-0.88,-0.53,1.07
2024-12-16,000423,59.68,59.66,61.2,58.76,68828,411027785.64,4.07,-0.48,-0.29,1.07
2024-12-17,000423,59.65,59.01,60.56,58.93,40009,237424244.31,2.73,-1.09,-0.65,0.62
2024-12-18,000423,59.23,59.4,59.68,58.68,32485,192447924.69,1.69,0.66,0.39,0.5
2024-12-19,000423,59.39,59.87,60.45,59.09,38872,232403907.93,2.29,0.79,0.47,0.6
2024-12-20,000423,60.0,63.2,63.95,59.85,126421,791899440.4,6.85,5.56,3.33,1.96
2024-12-23,000423,63.7,62.94,63.75,62.57,64088,404547560.7,1.87,-0.41,-0.26,1.0
2024-12-24,000423,62.66,63.0,63.49,62.11,45545,286250535.18,2.19,0.1,0.06,0.71
2024-12-25,000423,62.94,63.22,63.77,62.38,44909,283449509.82,2.21,0.35,0.22,0.7
2024-12-26,000423,63.2,62.36,63.48,62.27,39825,250065376.14,1.91,-1.36,-0.86,0.62
2024-12-27,000423,62.36,63.22,63.6,62.08,47834,301380888.72,2.44,1.38,0.86,0.74
2024-12-30,000423,63.37,63.2,64.26,63.06,46518,295471878.71,1.9,-0.03,-0.02,0.72
2024-12-31,000423,63.49,62.72,64.15,62.7,50377,318957013.82,2.29,-0.76,-0.48,0.78
2025-01-02,000423,62.88,62.0,63.37,61.5,70863,442697859.18,2.98,-1.15,-0.72,1.1
2025-01-03,000423,61.92,60.77,62.26,60.5,61532,377262453.02,2.84,-1.98,-1.23,0.96
2025-01-06,000423,60.5,60.79,61.17,59.9,53822,325579545.63,2.09,0.03,0.02,0.84
2025-01-07,000423,60.74,60.42,60.74,59.7,34934,210418848.61,1.71,-0.61,-0.37,0.54
2025-01-08,000423,60.47,62.01,62.35,60.38,59991,368633251.92,3.26,2.63,1.59,0.93
2025-01-09,000423,61.95,61.75,63.17,61.51,49443,308399777.46,2.68,-0.42,-0.26,0.77
2025-01-10,000423,61.82,61.95,62.38,61.42,32939,204301621.04,1.55,0.32,0.2,0.51
2025-01-13,000423,61.78,60.85,63.2,60.25,53878,330468897.83,4.76,-1.78,-1.1,0.84
2025-01-14,000423,60.85,61.92,62.17,60.4,40996,252048577.05,2.91,1.76,1.07,0.64
2025-01-15,000423,61.73,61.97,62.65,61.31,45411,281080443.27,2.16,0.08,0.05,0.71
2025-01-16,000423,62.06,62.01,62.99,61.7,34705,216206919.73,2.08,0.06,0.04,0.54
2025-01-17,000423,61.71,62.8,62.99,61.55,29472,184136400.76,2.32,1.27,0.79,0.46
2025-01-20,000423,62.8,60.78,63.57,59.89,108516,659585918.74,5.86,-3.22,-2.02,1.69
2025-01-21,000423,60.71,61.89,61.94,60.39,51550,316397907.28,2.55,1.83,1.11,0.8
2025-01-22,000423,61.71,61.27,62.06,60.05,49008,298080530.12,3.25,-1.0,-0.62,0.76
2025-01-23,000423,61.31,60.29,61.7,60.29,51379,312128959.69,2.3,-1.6,-0.98,0.8
2025-01-24,000423,60.19,59.7,60.3,59.0,68195,407787595.92,2.16,-0.98,-0.59,1.06
2025-01-27,000423,59.8,60.7,61.09,59.8,49104,297638255.2,2.16,1.68,1.0,0.76
2025-02-05,000423,60.88,60.35,61.05,60.32,39581,239849588.6,1.2,-0.58,-0.35,0.61
2025-02-06,000423,60.01,59.81,60.85,59.32,63313,378586455.31,2.54,-0.89,-0.54,0.98
2025-02-07,000423,59.81,59.92,60.59,59.56,51351,307982605.4,1.72,0.18,0.11,0.8
2025-02-10,000423,59.85,58.65,59.85,58.6,63209,372748924.92,2.09,-2.12,-1.27,0.98
2025-02-11,000423,58.65,58.36,58.86,58.24,38421,224640619.74,1.06,-0.49,-0.29,0.6
2025-02-12,000423,58.36,58.87,58.99,58.1,40754,239484629.52,1.53,0.87,0.51,0.63
2025-02-13,000423,58.7,59.8,59.89,58.57,58232,346613328.49,2.24,1.58,0.93,0.9
2025-02-14,000423,59.53,60.05,61.3,59.52,75256,455073546.26,2.98,0.42,0.25,1.17
2025-02-17,000423,60.07,58.88,60.22,58.11,78959,464836624.22,3.51,-1.95,-1.17,1.23
2025-02-18,000423,58.88,58.7,59.48,58.52,39327,232112528.18,1.63,-0.31,-0.18,0.61
2025-02-19,000423,58.6,58.76,58.82,58.01,45307,265055695.64,1.38,0.1,0.06,0.7
2025-02-20,000423,58.45,57.64,58.95,57.61,55018,318843211.01,2.28,-1.91,-1.12,0.85
2025-02-21,000423,57.39,55.99,57.8,55.65,116036,650902776.58,3.73,-2.86,-1.65,1.8
2025-02-24,000423,56.02,55.31,56.79,55.2,85233,475371214.0,2.84,-1.21,-0.68,1.32
2025-02-25,000423,55.12,54.45,55.12,54.23,77834,424833606.62,1.61,-1.55,-0.86,1.21
2025-02-26,000423,54.5,53.82,54.75,53.56,75308,405653245.14,2.19,-1.16,-0.63,1.17
2025-02-27,000423,53.68,54.65,54.73,53.32,87602,474086087.03,2.62,1.54,0.83,1.36
2025-02-28,000423,54.65,56.44,57.18,54.43,144269,813836033.29,5.03,3.28,1.79,2.24
2025-03-03,000423,56.44,57.32,58.49,56.43,84789,488341920.51,3.65,1.56,0.88,1.32
2025-03-04,000423,57.32,57.89,58.3,56.92,55051,317917990.68,2.41,0.99,0.57,0.85
2025-03-05,000423,57.74,56.64,57.97,56.45,49445,280877939.82,2.63,-2.16,-1.25,0.77
2025-03-06,000423,56.68,56.27,56.77,55.7,58924,330470448.47,1.89,-0.65,-0.37,0.91
2025-03-07,000423,56.11,56.86,57.15,55.92,45444,257063525.37,2.19,1.05,0.59,0.71
2025-03-10,000423,56.73,57.02,57.07,56.19,39891,225995606.39,1.55,0.28,0.16,0.62
2025-03-11,000423,56.6,57.96,58.27,56.13,55494,319820935.39,3.75,1.65,0.94,0.86
2025-03-12,000423,57.75,57.85,58.39,57.55,36779,213162593.08,1.45,-0.19,-0.11,0.57
2025-03-13,000423,57.89,58.69,58.97,57.78,47498,277913385.96,2.06,1.45,0.84,0.74
2025-03-14,000423,58.51,59.45,59.48,58.43,53954,319178324.68,1.79,1.29,0.76,0.84
2025-03-17,000423,59.53,58.72,59.61,58.64,41563,245115493.2,1.63,-1.23,-0.73,0.65
2025-03-18,000423,59.19,58.26,60.1,58.13,49482,291181994.3,3.35,-0.78,-0.46,0.77
2025-03-19,000423,58.74,58.18,59.71,57.97,54514,318681809.43,2.99,-0.14,-0.08,0.85
2025-03-20,000423,58.29,58.94,59.21,58.2,63433,373099961.87,1.74,1.31,0.76,0.99
2025-03-21,000423,59.21,58.96,60.0,58.71,73547,436400624.63,2.19,0.03,0.02,1.14
2025-03-24,000423,58.81,60.72,61.24,58.66,113603,687176520.0,4.38,2.99,1.76,1.76
2025-03-25,000423,60.65,59.88,61.3,59.6,57349,344950755.34,2.8,-1.38,-0.84,0.89
2025-03-26,000423,59.88,59.6,59.99,59.23,28885,172179684.67,1.27,-0.47,-0.28,0.45
2025-03-27,000423,59.65,60.48,60.6,59.49,40715,245267892.34,1.86,1.48,0.88,0.63
2025-03-28,000423,60.31,60.11,60.65,59.71,30226,181737463.33,1.55,-0.61,-0.37,0.47
2025-03-31,000423,59.81,60.45,61.08,59.8,60371,366050880.06,2.13,0.57,0.34,0.94
2025-04-01,000423,60.41,61.81,61.88,59.75,78305,479279658.7,3.52,2.25,1.36,1.22
2025-04-02,000423,61.61,61.28,61.71,61.06,34799,213477919.81,1.05,-0.86,-0.53,0.54
2025-04-03,000423,61.01,62.58,62.8,60.68,62435,387621610.48,3.46,2.12,1.3,0.97
2025-04-07,000423,61.2,60.96,62.88,58.17,133235,815749017.66,7.53,-2.59,-1.62,2.07
2025-04-08,000423,60.94,61.09,61.64,60.18,88458,539115612.61,2.4,0.21,0.13,1.37
2025-04-09,000423,60.98,62.03,62.4,59.95,79620,487290926.13,4.01,1.54,0.94,1.24
2025-04-10,000423,62.2,62.35,62.77,61.05,59272,366417475.08,2.77,0.52,0.32,0.92
