date,open,high,low,close,volume
2024-12-02,3.11,3.13,3.08,3.11,68181501
2024-12-03,3.11,3.18,3.1,3.17,84111374
2024-12-04,3.16,3.17,3.11,3.13,63821250
2024-12-05,3.12,3.15,3.11,3.13,47532224
2024-12-06,3.13,3.19,3.12,3.18,80239804
2024-12-09,3.18,3.21,3.15,3.17,69761800
2024-12-10,3.23,3.25,3.17,3.19,89493659
2024-12-11,3.17,3.21,3.16,3.18,70762650
2024-12-12,3.19,3.22,3.16,3.2,56759610
2024-12-13,3.19,3.2,3.09,3.1,93053955
2024-12-16,3.09,3.13,3.07,3.09,63649919
2024-12-17,3.08,3.11,3.02,3.05,84884472
2024-12-18,3.06,3.11,3.06,3.07,56841800
2024-12-19,3.06,3.07,3.02,3.05,57799400
2024-12-20,3.05,3.06,3.02,3.03,53925995
2024-12-23,3.03,3.08,3.02,3.02,72692972
2024-12-24,3.03,3.11,3.02,3.1,92473652
2024-12-25,3.09,3.12,3.06,3.11,89478641
2024-12-26,3.1,3.11,3.07,3.08,53724000
2024-12-27,3.08,3.11,3.04,3.1,58943700
2024-12-30,3.08,3.13,3.07,3.12,61725531
2024-12-31,3.12,3.16,3.04,3.04,99385857
2025-01-02,3.05,3.07,2.92,2.94,91854311
2025-01-03,2.94,2.96,2.88,2.9,69706280
2025-01-06,2.9,2.92,2.86,2.92,50925280
2025-01-07,2.91,2.95,2.89,2.95,47285622
2025-01-08,2.94,2.96,2.88,2.94,51345672
2025-01-09,2.93,2.94,2.89,2.91,42800974
2025-01-10,2.91,2.92,2.86,2.89,44169750
2025-01-13,2.87,2.87,2.81,2.83,64260244
2025-01-14,2.84,2.92,2.83,2.91,68872974
2025-01-15,2.91,2.95,2.89,2.91,45805474
2025-01-16,2.92,2.98,2.92,2.96,66330900
2025-01-17,2.95,2.97,2.92,2.95,45219700
2025-01-20,2.97,2.99,2.93,2.95,50733007
2025-01-21,2.96,2.96,2.91,2.93,46524209
2025-01-22,2.92,2.93,2.89,2.91,43846944
2025-01-23,2.93,2.99,2.92,2.95,65032199
2025-01-24,2.95,2.97,2.92,2.96,53506359
2025-01-27,2.96,3.03,2.96,2.99,66196445
2025-02-05,3.0,3.01,2.95,2.95,48886800
2025-02-06,2.95,2.97,2.93,2.96,53374800
2025-02-07,2.96,3.03,2.95,3.0,76085244
2025-02-10,3.0,3.01,2.98,2.99,41058707
2025-02-11,3.01,3.03,2.99,3.01,62033270
2025-02-12,3.01,3.02,2.98,3.01,44846929
2025-02-13,3.0,3.03,3.0,3.02,53747810
2025-02-14,3.02,3.02,2.98,3.01,45074485
2025-02-17,3.01,3.01,2.98,3.0,41175334
2025-02-18,3.0,3.09,2.99,3.06,124557785
2025-02-19,3.05,3.07,3.02,3.03,51464750
2025-02-20,3.05,3.07,3.03,3.05,51479500
2025-02-21,3.05,3.06,2.99,3.01,56974328
2025-02-24,3.01,3.05,3.0,3.02,56712334
2025-02-25,3.03,3.04,2.98,2.99,44493185
2025-02-26,2.99,3.03,2.99,3.01,39106838
2025-02-27,3.02,3.02,2.99,3.01,38382311
2025-02-28,3.01,3.02,2.97,2.98,49914941
2025-03-03,2.98,2.99,2.95,2.95,41769241
2025-03-04,2.95,2.99,2.95,2.98,45095009
2025-03-05,2.98,3.0,2.96,3.0,48333087
2025-03-06,3.0,3.01,2.98,3.0,45909370
2025-03-07,3.0,3.01,2.97,2.98,38133321
2025-03-10,2.97,2.98,2.94,2.94,51681970
2025-03-11,2.93,2.95,2.91,2.95,57721193
2025-03-12,2.95,2.96,2.93,2.94,39048794
2025-03-13,2.94,2.97,2.93,2.95,57641486
2025-03-14,2.94,3.0,2.94,2.99,63375204
2025-03-17,3.0,3.04,2.99,3.03,60175731
2025-03-18,3.04,3.04,3.01,3.03,33109791
2025-03-19,3.03,3.06,3.01,3.06,65573899
2025-03-20,3.06,3.1,3.04,3.05,50295406
2025-03-21,3.05,3.08,3.01,3.05,53689763
2025-03-24,3.04,3.06,3.01,3.04,39661370
2025-03-25,3.04,3.07,3.04,3.07,35591596
2025-03-26,3.07,3.08,3.04,3.06,41177561
2025-03-27,3.06,3.07,3.04,3.05,33539642
2025-03-28,3.05,3.07,3.02,3.05,51506003
2025-03-31,3.07,3.14,3.07,3.09,113707918
2025-04-01,3.1,3.13,3.07,3.11,64127637
2025-04-02,3.11,3.18,3.1,3.17,81274014
2025-04-03,3.16,3.19,3.14,3.17,58410012
2025-04-07,3.11,3.11,2.88,2.94,125567084
2025-04-08,2.95,3.01,2.94,2.97,83664788
2025-04-09,2.95,2.96,2.88,2.95,103190800
2025-04-10,2.96,2.99,2.94,2.95,81742800
2025-04-11,2.94,2.95,2.92,2.93,65158000
2025-04-14,2.94,2.95,2.92,2.93,67794692
2025-04-15,2.93,2.94,2.91,2.93,82592100
2025-04-16,2.93,2.95,2.92,2.95,81354546
2025-04-17,2.94,3.01,2.93,3.0,107831895
2025-04-18,2.99,3.01,2.98,3.0,53312612
2025-04-21,2.99,3.02,2.96,2.97,78601853
2025-04-22,2.97,3.04,2.96,3.03,137874208
2025-04-23,3.03,3.04,3.0,3.01,62737935
2025-04-24,3.01,3.05,3.0,3.04,68837011
2025-04-25,3.05,3.15,3.05,3.14,158202788
2025-04-28,3.13,3.18,3.1,3.17,92173694
2025-04-29,3.15,3.2,3.14,3.17,70340816
2025-04-30,3.17,3.19,3.12,3.13,78765528
2025-05-06,3.13,3.14,3.07,3.1,107289143
2025-05-07,3.11,3.21,3.11,3.19,109208450
2025-05-08,3.18,3.34,3.17,3.31,173256678
2025-05-09,3.33,3.4,3.31,3.36,141062764
2025-05-12,3.35,3.36,3.29,3.31,99984897
2025-05-13,3.34,3.41,3.28,3.38,135353901
2025-05-14,3.38,3.42,3.35,3.39,100149205
2025-05-15,3.39,3.42,3.34,3.35,82647700
2025-05-16,3.34,3.39,3.31,3.37,81332256
2025-05-19,3.37,3.41,3.34,3.38,66178418
2025-05-20,3.38,3.41,3.33,3.34,85374199
2025-05-21,3.33,3.39,3.32,3.38,75216900
2025-05-22,3.37,3.43,3.36,3.4,107533100
2025-05-23,3.4,3.43,3.33,3.34,106078000
2025-05-26,3.33,3.37,3.29,3.3,67484200
2025-05-27,3.31,3.36,3.3,3.33,77286808
2025-05-28,3.33,3.39,3.3,3.39,88903800
2025-05-29,3.38,3.4,3.35,3.36,82278100
2025-05-30,3.36,3.47,3.36,3.46,129882901
2025-06-03,3.45,3.55,3.43,3.51,114083559
2025-06-04,3.52,3.61,3.5,3.56,112700071
2025-06-05,3.57,3.58,3.44,3.46,111940032
2025-06-06,3.47,3.53,3.46,3.52,87903700
2025-06-09,3.53,3.57,3.47,3.54,86917465
2025-06-10,3.55,3.59,3.53,3.56,77402900
2025-06-11,3.55,3.61,3.53,3.57,78589173
2025-06-12,3.58,3.64,3.56,3.63,81312594
2025-06-13,3.64,3.65,3.56,3.57,87443198
2025-06-16,3.57,3.7,3.56,3.7,128335633
2025-06-17,3.7,3.72,3.66,3.7,74965450
2025-06-18,3.69,3.73,3.65,3.7,75094841
2025-06-19,3.7,3.73,3.65,3.69,76295900
2025-06-20,3.68,3.74,3.65,3.73,109496430
2025-06-23,3.73,3.73,3.63,3.71,110354346
2025-06-24,3.71,3.72,3.65,3.71,117286437
