date,open,high,low,close,volume
2024-12-02,305.0,307.88,292.88,295.18,2667934
2024-12-03,295.0,297.89,286.66,288.83,2406437
2024-12-04,290.0,303.0,287.04,293.52,2273348
2024-12-05,290.5,296.58,287.27,291.98,1745848
2024-12-06,292.0,294.69,287.0,289.39,1962387
2024-12-09,294.81,302.22,287.38,289.08,2293682
2024-12-10,300.1,316.68,291.11,306.98,4554094
2024-12-11,336.0,358.14,324.99,351.0,6619192
2024-12-12,351.0,355.0,324.0,327.03,5467046
2024-12-13,324.0,332.0,311.5,312.4,4064666
2024-12-16,309.97,319.88,308.52,311.1,2266461
2024-12-17,319.2,321.1,309.11,309.18,2570936
2024-12-18,325.0,349.97,319.18,335.67,4808008
2024-12-19,331.0,346.0,320.28,325.55,4180353
2024-12-20,317.35,331.5,313.07,326.23,2884488
2024-12-23,330.0,334.47,313.11,313.86,2829626
2024-12-24,312.0,321.9,298.01,317.59,2685739
2024-12-25,318.88,321.0,311.0,317.51,1427311
2024-12-26,317.6,326.6,314.8,323.68,1898464
2024-12-27,331.0,339.0,323.83,325.0,2447172
2024-12-30,322.0,323.9,312.22,314.03,2212063
2024-12-31,314.44,315.0,298.29,298.36,2594922
2025-01-02,296.27,298.27,271.59,273.44,3897272
2025-01-03,277.0,277.88,258.8,259.75,2854977
2025-01-06,259.74,264.44,250.0,252.99,2126442
2025-01-07,255.0,269.0,252.23,268.69,2854041
2025-01-08,261.0,265.65,252.8,262.5,2658789
2025-01-09,257.25,263.86,245.52,261.44,2956797
2025-01-10,262.0,274.83,258.33,262.0,2998212
2025-01-13,257.85,261.86,255.0,258.76,1573902
2025-01-14,258.0,269.56,253.3,266.76,3211052
2025-01-15,265.88,273.01,259.58,259.7,2368188
2025-01-16,268.44,276.66,264.03,268.05,3171067
2025-01-17,268.0,268.0,258.6,264.11,2399844
2025-01-20,267.0,269.9,263.2,265.1,1637126
2025-01-21,266.64,268.96,254.33,258.4,2496815
2025-01-22,258.19,264.69,257.01,259.49,1891397
2025-01-23,262.62,275.39,262.22,265.11,3170452
2025-01-24,264.37,271.0,263.0,270.25,2038905
2025-01-27,272.0,273.0,260.6,260.69,1800670
2025-02-05,266.0,282.88,263.22,278.49,3527578
2025-02-06,278.49,291.0,276.0,288.1,2993809
2025-02-07,285.5,293.97,279.22,285.0,3429918
2025-02-10,287.0,294.96,284.0,289.02,2540129
2025-02-11,290.52,292.0,284.98,288.8,1885463
2025-02-12,286.0,290.59,282.0,286.86,2105972
2025-02-13,286.86,287.5,279.0,279.71,1934527
2025-02-14,279.0,297.0,274.33,296.06,3898939
2025-02-17,296.0,302.0,288.88,292.3,2677994
2025-02-18,289.0,292.4,278.51,280.1,2042849
2025-02-19,280.32,284.64,278.01,283.95,1625408
2025-02-20,296.0,298.0,286.0,290.3,2976832
2025-02-21,290.0,302.0,284.8,300.0,3847760
2025-02-24,300.0,310.0,294.01,297.11,3185524
2025-02-25,293.98,307.99,291.0,300.23,3095607
2025-02-26,305.0,305.0,295.09,302.4,2272279
2025-02-27,302.4,305.88,292.0,295.46,2181559
2025-02-28,290.58,293.84,280.05,281.16,2328192
2025-03-03,280.89,283.5,273.0,278.68,1663784
2025-03-04,281.18,290.0,281.18,287.73,1854505
2025-03-05,293.55,303.87,289.55,299.8,3451622
2025-03-06,305.0,305.0,295.65,299.5,2774039
2025-03-07,296.9,303.89,291.6,293.19,2320809
2025-03-10,292.2,292.89,280.88,286.0,2419212
2025-03-11,281.0,285.57,280.02,285.05,1148032
2025-03-12,285.0,291.73,284.78,287.6,1640664
2025-03-13,290.0,294.0,281.3,283.42,1571773
2025-03-14,287.75,288.87,282.01,287.76,1541756
2025-03-17,299.0,305.0,292.99,293.1,3207145
2025-03-18,296.0,299.99,289.58,294.83,2212135
2025-03-19,290.98,291.35,283.99,284.62,1830383
2025-03-20,285.88,286.0,282.56,283.72,1074608
2025-03-21,282.12,283.0,272.01,272.93,1995858
2025-03-24,271.0,271.61,257.88,262.44,2116742
2025-03-25,262.45,264.78,256.7,258.54,1257684
2025-03-26,256.55,263.71,256.55,260.89,978057
2025-03-27,259.5,263.3,256.02,260.35,928045
2025-03-28,260.3,261.32,254.6,254.66,995755
2025-03-31,254.28,256.88,248.0,255.99,1420645
2025-04-01,256.8,263.8,256.01,260.94,1384657
2025-04-02,260.86,265.97,260.0,262.8,985878
2025-04-03,262.79,265.89,259.99,263.11,876802
2025-04-07,245.0,247.0,211.03,221.95,3098508
2025-04-08,222.07,232.77,222.07,232.49,2175037
2025-04-09,230.22,250.97,228.0,247.91,2613519
2025-04-10,255.12,256.03,247.08,247.68,1686366
2025-04-11,245.88,252.88,245.8,251.33,1344991
2025-04-14,254.29,255.28,251.53,252.87,1048638
2025-04-15,252.72,253.2,248.1,250.46,768322
2025-04-16,250.6,253.57,245.08,252.06,1179439
2025-04-17,251.13,253.48,250.01,250.01,667716
2025-04-18,250.13,250.97,247.68,249.02,542183
2025-04-21,249.33,253.35,248.0,253.15,976729
2025-04-22,248.1,249.9,238.14,240.6,2186299
2025-04-23,240.6,243.88,239.8,241.75,879903
2025-04-24,240.8,242.31,236.28,237.25,775389
2025-04-25,237.88,243.5,237.02,241.35,824900
2025-04-28,242.0,242.0,233.01,235.5,1021218
2025-04-29,235.5,237.49,233.5,236.3,692450
2025-04-30,236.88,242.0,235.6,240.33,850234
2025-05-06,243.0,251.0,242.0,249.28,1426173
2025-05-07,254.0,255.8,247.02,249.4,1389576
2025-05-08,250.0,252.39,245.5,249.92,1165378
2025-05-09,253.01,254.91,245.24,245.3,1353521
2025-05-12,246.55,255.4,246.55,253.73,1769693
2025-05-13,256.96,256.96,247.35,247.85,1163444
2025-05-14,248.52,251.3,245.51,248.31,972220
2025-05-15,248.18,248.99,242.58,243.61,953200
2025-05-16,242.71,244.8,242.33,243.0,582094
