date,open,high,low,close,volume
2024-12-02,4.9,4.95,4.88,4.93,23573535
2024-12-03,4.93,5.0,4.91,5.0,34878839
2024-12-04,4.99,4.99,4.93,4.95,20853033
2024-12-05,4.95,4.97,4.93,4.93,16923200
2024-12-06,4.94,5.01,4.93,5.0,32639802
2024-12-09,5.0,5.07,5.0,5.06,33381304
2024-12-10,5.12,5.15,5.01,5.02,36139563
2024-12-11,5.02,5.08,5.01,5.05,25677604
2024-12-12,5.07,5.1,5.04,5.08,23757790
2024-12-13,5.08,5.08,4.97,4.98,34427456
2024-12-16,5.0,5.1,4.99,5.09,48282413
2024-12-17,5.1,5.16,5.04,5.08,34793387
2024-12-18,5.1,5.18,5.09,5.14,43150819
2024-12-19,5.1,5.12,5.0,5.02,44280047
2024-12-20,5.03,5.05,4.97,4.97,27500700
2024-12-23,4.98,5.05,4.96,4.99,31794876
2024-12-24,4.99,5.08,4.98,5.06,31138705
2024-12-25,5.09,5.09,5.01,5.04,22917902
2024-12-26,5.04,5.05,4.97,4.98,28140006
2024-12-27,4.98,5.06,4.97,5.06,28663402
2024-12-30,5.04,5.08,5.03,5.06,18268800
2024-12-31,5.06,5.08,4.98,4.98,27838000
2025-01-02,4.98,5.01,4.8,4.83,42578853
2025-01-03,4.84,4.93,4.83,4.85,37227399
2025-01-06,4.85,4.86,4.79,4.84,25273195
2025-01-07,4.82,4.84,4.71,4.76,28596214
2025-01-08,4.75,4.8,4.68,4.77,26300646
2025-01-09,4.76,4.76,4.69,4.69,20161916
2025-01-10,4.68,4.71,4.64,4.64,19004045
2025-01-13,4.67,4.68,4.61,4.62,17689547
2025-01-14,4.64,4.72,4.64,4.72,22771167
2025-01-15,4.71,4.77,4.68,4.72,20355466
2025-01-16,4.75,4.79,4.71,4.74,18970935
2025-01-17,4.73,4.74,4.68,4.71,27520300
2025-01-20,4.74,4.76,4.71,4.74,24688700
2025-01-21,4.74,4.75,4.68,4.7,17651012
2025-01-22,4.7,4.72,4.66,4.71,18992155
2025-01-23,4.73,4.8,4.73,4.73,27027217
2025-01-24,4.74,4.81,4.71,4.77,34329965
2025-01-27,4.79,4.89,4.78,4.85,36800835
2025-02-05,4.88,4.88,4.78,4.83,28085735
2025-02-06,4.82,4.83,4.77,4.81,28873706
2025-02-07,4.81,4.85,4.8,4.82,36894805
2025-02-10,4.83,4.86,4.74,4.76,60829305
2025-02-11,4.76,4.8,4.74,4.77,28445268
2025-02-12,4.76,4.8,4.75,4.79,27569080
2025-02-13,4.79,4.8,4.77,4.77,21298305
