date,open,high,low,close,volume
2024-12-02,5.95,6.04,5.95,6.03,187030146
2024-12-03,6.02,6.1,5.99,6.09,242881274
2024-12-04,6.08,6.1,6.04,6.06,157601329
2024-12-05,6.05,6.08,6.01,6.02,135836400
2024-12-06,6.03,6.11,6.02,6.06,199581005
2024-12-09,6.07,6.17,6.05,6.1,248707854
2024-12-10,6.28,6.32,6.12,6.12,276001702
2024-12-11,6.12,6.17,6.1,6.11,160963963
2024-12-12,6.11,6.15,6.09,6.14,158886951
2024-12-13,6.12,6.12,5.95,5.95,286396139
2024-12-16,5.96,5.99,5.9,5.91,187921803
2024-12-17,5.91,5.96,5.9,5.91,157925318
2024-12-18,5.99,6.08,5.95,5.96,226414649
2024-12-19,5.93,5.98,5.87,5.97,163971177
2024-12-20,5.96,5.98,5.89,5.91,167916629
2024-12-23,5.92,6.05,5.91,6.0,258402513
2024-12-24,6.01,6.04,5.99,6.02,151527922
2024-12-25,6.03,6.09,6.02,6.06,180279964
2024-12-26,6.06,6.06,6.0,6.02,130725605
2024-12-27,6.02,6.05,5.98,6.04,160434858
2024-12-30,6.02,6.1,6.01,6.08,185881205
2024-12-31,6.07,6.1,6.0,6.0,207606108
2025-01-02,6.01,6.03,5.79,5.82,300880457
2025-01-03,5.82,5.88,5.76,5.78,184213807
2025-01-06,5.81,5.82,5.66,5.74,176420574
2025-01-07,5.75,5.76,5.67,5.74,136204501
2025-01-08,5.73,5.76,5.6,5.68,211746315
2025-01-09,5.67,5.67,5.58,5.6,154587424
2025-01-10,5.6,5.63,5.5,5.5,149231853
2025-01-13,5.48,5.53,5.42,5.49,146609158
2025-01-14,5.49,5.6,5.48,5.57,174283841
2025-01-15,5.56,5.62,5.56,5.61,162117696
2025-01-16,5.62,5.69,5.58,5.6,165850057
2025-01-17,5.6,5.67,5.55,5.63,142148290
2025-01-20,5.67,5.69,5.61,5.61,111261000
2025-01-21,5.63,5.67,5.57,5.59,161962445
2025-01-22,5.58,5.6,5.47,5.49,167107066
2025-01-23,5.53,5.64,5.53,5.56,181696951
2025-01-24,5.57,5.62,5.55,5.59,130689987
2025-01-27,5.61,5.66,5.59,5.64,153407954
2025-02-05,5.66,5.66,5.5,5.51,189986303
2025-02-06,5.51,5.53,5.45,5.53,172200937
2025-02-07,5.52,5.58,5.49,5.54,281034812
2025-02-10,5.52,5.57,5.51,5.53,159281103
2025-02-11,5.54,5.55,5.48,5.49,173083025
2025-02-12,5.5,5.51,5.44,5.51,180648978
2025-02-13,5.51,5.59,5.49,5.54,247404310
2025-02-14,5.54,5.55,5.48,5.54,159475596
2025-02-17,5.55,5.58,5.5,5.54,193747115
2025-02-18,5.54,5.6,5.51,5.53,226898404
2025-02-19,5.52,5.58,5.52,5.54,180314593
2025-02-20,5.53,5.53,5.41,5.49,312275337
2025-02-21,5.48,5.49,5.38,5.39,301867246
2025-02-24,5.4,5.59,5.38,5.53,424348431
2025-02-25,5.53,5.58,5.45,5.46,282070074
2025-02-26,5.46,5.64,5.46,5.53,345255297
2025-02-27,5.53,5.55,5.48,5.51,208683360
2025-02-28,5.5,5.54,5.48,5.48,233555786
2025-03-03,5.5,5.55,5.45,5.47,212149163
2025-03-04,5.45,5.47,5.4,5.42,205275478
2025-03-05,5.42,5.43,5.37,5.42,194413310
2025-03-06,5.43,5.46,5.39,5.44,185871597
2025-03-07,5.43,5.45,5.41,5.41,133460748
2025-03-10,5.42,5.43,5.35,5.36,197336200
2025-03-11,5.34,5.35,5.31,5.35,162018765
2025-03-12,5.34,5.37,5.32,5.35,155341018
2025-03-13,5.35,5.38,5.32,5.33,159130043
2025-03-14,5.34,5.49,5.33,5.48,359383902
2025-03-17,5.5,5.55,5.49,5.51,194158861
2025-03-18,5.53,5.54,5.48,5.49,128907882
2025-03-19,5.48,5.5,5.45,5.47,133483558
2025-03-20,5.48,5.49,5.44,5.45,123418162
2025-03-21,5.45,5.51,5.43,5.45,206146128
2025-03-24,5.47,5.48,5.42,5.44,142128625
2025-03-25,5.45,5.53,5.44,5.51,207336542
2025-03-26,5.51,5.53,5.45,5.46,179982057
2025-03-27,5.46,5.47,5.43,5.44,131082357
2025-03-28,5.44,5.45,5.37,5.4,160504649
2025-03-31,5.37,5.41,5.25,5.26,289035571
2025-04-01,5.28,5.29,5.24,5.27,224865572
2025-04-02,5.26,5.3,5.24,5.28,150384522
2025-04-03,5.25,5.36,5.25,5.31,201048374
2025-04-07,5.2,5.2,4.96,5.08,507343176
2025-04-08,5.09,5.33,5.08,5.33,504620971
2025-04-09,5.31,5.39,5.22,5.39,360153263
2025-04-10,5.42,5.42,5.3,5.38,206448095
2025-04-11,5.37,5.37,5.31,5.35,153572693
2025-04-14,5.36,5.36,5.32,5.33,121768670
2025-04-15,5.33,5.38,5.31,5.38,141846291
2025-04-16,5.38,5.48,5.33,5.48,310309745
2025-04-17,5.44,5.51,5.42,5.51,192850680
2025-04-18,5.49,5.52,5.47,5.5,108569037
2025-04-21,5.5,5.54,5.46,5.46,148516980
2025-04-22,5.45,5.55,5.45,5.53,183882684
2025-04-23,5.54,5.56,5.48,5.48,114641943
2025-04-24,5.49,5.52,5.47,5.52,113738875
2025-04-25,5.52,5.56,5.5,5.52,126713586
2025-04-28,5.52,5.53,5.47,5.49,112277773
2025-04-29,5.53,5.59,5.49,5.51,186713461
2025-04-30,5.5,5.54,5.47,5.51,140735700
2025-05-06,5.54,5.54,5.5,5.53,166986176
2025-05-07,5.6,5.62,5.53,5.58,205734741
2025-05-08,5.57,5.67,5.55,5.59,237921936
2025-05-09,5.6,5.61,5.55,5.56,132052121
2025-05-12,5.58,5.61,5.54,5.6,148851504
2025-05-13,5.61,5.73,5.59,5.71,296149911
2025-05-14,5.7,5.78,5.69,5.77,161600629
2025-05-15,5.75,5.81,5.75,5.79,209202304
2025-05-16,5.79,5.83,5.7,5.75,171517615
2025-05-19,5.73,5.75,5.69,5.72,112544688
2025-05-20,5.72,5.78,5.7,5.76,106160994
2025-05-21,5.76,5.82,5.74,5.77,150335132
2025-05-22,5.77,5.8,5.74,5.79,119284743
2025-05-23,5.79,5.82,5.71,5.71,128690541
2025-05-26,5.7,5.74,5.66,5.69,125178767
2025-05-27,5.69,5.7,5.62,5.63,144435365
2025-05-28,5.63,5.66,5.6,5.63,90406771
2025-05-29,5.64,5.67,5.63,5.64,104258982
2025-05-30,5.64,5.72,5.6,5.68,159482617
2025-06-03,5.67,5.73,5.66,5.69,119768850
2025-06-04,5.7,5.76,5.69,5.7,114044372
2025-06-05,5.71,5.73,5.65,5.66,118810125
2025-06-06,5.66,5.72,5.65,5.69,102560609
2025-06-09,5.69,5.71,5.62,5.63,192486922
2025-06-10,5.64,5.71,5.63,5.67,186706287
2025-06-11,5.67,5.74,5.67,5.72,142028611
2025-06-12,5.73,5.74,5.67,5.71,136299476
2025-06-13,5.71,5.73,5.68,5.71,165204724
2025-06-16,5.72,5.73,5.67,5.73,137531214
2025-06-17,5.73,5.77,5.7,5.75,128090146
2025-06-18,5.75,5.78,5.7,5.75,120074890
2025-06-19,5.74,5.75,5.64,5.67,171991163
2025-06-20,5.68,5.72,5.67,5.7,126184647
2025-06-23,5.68,5.74,5.63,5.71,144996337
2025-06-24,5.72,5.81,5.72,5.8,196518029
2025-06-25,5.8,5.83,5.76,5.83,152110532
2025-06-26,5.83,5.84,5.78,5.83,131032181
2025-06-27,5.83,5.89,5.77,5.78,197076019
2025-06-30,5.79,5.82,5.77,5.77,139409410
2025-07-01,5.79,5.8,5.76,5.76,101968383
2025-07-02,5.77,5.85,5.75,5.83,174598916
2025-07-03,5.83,5.89,5.82,5.88,158554384
2025-07-04,5.9,5.94,5.87,5.92,144395316
2025-07-07,5.92,5.97,5.9,5.96,118290506
2025-07-08,5.96,5.98,5.92,5.95,124712531
2025-07-09,5.96,6.02,5.95,5.98,161705125
2025-07-10,6.0,6.14,5.99,6.11,299840130
2025-07-11,6.11,6.2,6.08,6.08,300097929
2025-07-14,6.09,6.19,6.09,6.13,188639812
2025-07-15,6.14,6.15,6.09,6.12,188604346
2025-07-16,6.11,6.14,6.05,6.09,162458379
2025-07-17,5.85,5.9,5.79,5.82,216703145
2025-07-18,5.85,5.86,5.82,5.85,119414405
2025-07-21,5.94,5.99,5.86,5.87,269321501
2025-07-22,5.88,6.04,5.83,5.98,444052214
2025-07-23,6.02,6.03,5.88,5.89,345480138
2025-07-24,5.87,5.94,5.83,5.89,306795263
2025-07-25,5.88,5.89,5.78,5.8,302810608
2025-07-28,5.78,5.81,5.74,5.76,205947245
2025-07-29,5.75,5.78,5.72,5.75,168573790
2025-07-30,5.75,5.81,5.73,5.76,151217640
2025-07-31,5.76,5.76,5.63,5.66,265476974
2025-08-01,5.65,5.7,5.63,5.64,132338584
2025-08-04,5.63,5.66,5.62,5.64,118399137
2025-08-05,5.64,5.68,5.63,5.67,123430799
2025-08-06,5.68,5.69,5.65,5.66,121156427
2025-08-07,5.67,5.69,5.65,5.67,134584586
2025-08-08,5.67,5.73,5.66,5.72,166428998
2025-08-11,5.73,5.75,5.66,5.66,216559040
2025-08-12,5.66,5.71,5.65,5.65,163932559
2025-08-13,5.66,5.67,5.6,5.61,216373052
2025-08-14,5.61,5.67,5.58,5.58,207274370
2025-08-15,5.58,5.61,5.56,5.56,230889893
2025-08-18,5.57,5.61,5.54,5.54,259184242
2025-08-19,5.56,5.58,5.5,5.5,263187732
2025-08-20,5.5,5.53,5.46,5.52,206923472
2025-08-21,5.53,5.62,5.53,5.59,275025785
2025-08-22,5.59,5.61,5.54,5.6,205126209
2025-08-25,5.6,5.74,5.6,5.72,360333515
2025-08-26,5.71,5.72,5.67,5.71,190992736
2025-08-27,5.69,5.7,5.55,5.56,305019745
2025-08-28,5.56,5.6,5.51,5.56,226883459
2025-08-29,5.64,5.83,5.57,5.59,777595327
2025-09-01,5.62,5.68,5.55,5.56,436437929
2025-09-02,5.55,5.6,5.54,5.6,294166576
2025-09-03,5.59,5.62,5.51,5.53,256424884
2025-09-04,5.53,5.55,5.46,5.52,310011178
2025-09-05,5.52,5.53,5.47,5.49,231479840
2025-09-08,5.49,5.53,5.47,5.51,234867547
2025-09-09,5.51,5.54,5.5,5.53,186259524
2025-09-10,5.53,5.53,5.5,5.51,140116493
2025-09-11,5.51,5.57,5.49,5.55,213419692
2025-09-12,5.55,5.62,5.54,5.57,260259195
2025-09-15,5.58,5.62,5.53,5.57,212053112
2025-09-16,5.57,5.63,5.56,5.6,266507197
2025-09-17,5.61,5.68,5.58,5.67,271399139
2025-09-18,5.67,5.68,5.5,5.51,360097732
2025-09-19,5.52,5.58,5.51,5.55,184689997
2025-09-22,5.55,5.56,5.48,5.5,170719284
2025-09-23,5.5,5.57,5.47,5.55,268421166
2025-09-24,5.55,5.57,5.5,5.53,210954386
2025-09-25,5.52,5.54,5.47,5.47,226887223
2025-09-26,5.48,5.48,5.43,5.43,213217595
2025-09-29,5.43,5.47,5.37,5.44,262087432
2025-09-30,5.44,5.48,5.4,5.45,207561091
2025-10-09,5.46,5.56,5.45,5.56,291749994
2025-10-10,5.54,5.65,5.52,5.61,333366746
2025-10-13,5.55,5.6,5.48,5.57,311839789
2025-10-14,5.57,5.62,5.54,5.58,239248895
2025-10-15,5.59,5.64,5.56,5.62,184471205
2025-10-16,5.6,5.66,5.59,5.65,232163326
2025-10-17,5.65,5.68,5.58,5.59,236611770
2025-10-20,5.61,5.64,5.54,5.6,184349712
2025-10-21,5.61,5.68,5.59,5.65,203170659
2025-10-22,5.65,5.7,5.65,5.67,150198557
2025-10-23,5.67,5.72,5.64,5.72,181854859
2025-10-24,5.72,5.73,5.68,5.71,161314571
2025-10-27,5.71,5.8,5.67,5.74,248821000
2025-10-28,5.74,5.75,5.65,5.66,253448534
2025-10-29,5.66,5.67,5.58,5.6,259760452
2025-10-30,5.6,5.7,5.59,5.66,264485734
2025-10-31,5.59,5.6,5.43,5.43,680132559
2025-11-03,5.45,5.45,5.42,5.43,258783187
2025-11-04,5.43,5.48,5.42,5.44,244901979
2025-11-05,5.43,5.44,5.38,5.42,191467649
2025-11-06,5.42,5.46,5.4,5.42,215134335
2025-11-07,5.42,5.44,5.41,5.41,180576376
2025-11-10,5.42,5.44,5.4,5.44,158624637
2025-11-11,5.44,5.45,5.42,5.43,155104883
2025-11-12,5.44,5.46,5.43,5.45,228733921
2025-11-13,5.45,5.47,5.42,5.44,213331759
2025-11-14,5.43,5.45,5.41,5.42,169959063
2025-11-17,5.41,5.42,5.37,5.37,221703336
2025-11-18,5.37,5.38,5.26,5.28,304442952
2025-11-19,5.27,5.32,5.27,5.29,161844102
2025-11-20,5.29,5.36,5.28,5.33,207469914
2025-11-21,5.31,5.32,5.25,5.25,231646608
2025-11-24,5.27,5.28,5.23,5.27,143910260
2025-11-25,5.27,5.28,5.25,5.27,129088800
2025-11-26,5.28,5.29,5.26,5.27,96742469
2025-11-27,5.26,5.27,5.23,5.24,117398375
2025-11-28,5.24,5.24,5.18,5.2,223462606
2025-12-01,5.19,5.25,5.19,5.24,155493777
2025-12-02,5.24,5.27,5.23,5.25,114872161
2025-12-03,5.26,5.29,5.25,5.26,122190852
2025-12-04,5.27,5.3,5.26,5.29,124031700
2025-12-05,5.29,5.34,5.27,5.33,152337269
2025-12-08,5.33,5.34,5.26,5.28,158661314
2025-12-09,5.28,5.28,5.13,5.13,273241206
2025-12-10,5.14,5.2,5.11,5.18,216205834
2025-12-11,5.17,5.21,5.16,5.2,159829605
2025-12-12,5.19,5.2,5.16,5.17,180603783
2025-12-15,5.17,5.22,5.16,5.18,135053751
2025-12-16,5.18,5.19,5.13,5.15,137461218
2025-12-17,5.16,5.2,5.11,5.18,154428099
2025-12-18,5.17,5.21,5.16,5.19,110317424
2025-12-19,5.2,5.24,5.19,5.21,144083413
2025-12-22,5.22,5.23,5.17,5.17,150991478
2025-12-23,5.17,5.22,5.16,5.2,119505289
2025-12-24,5.2,5.23,5.19,5.2,99505069
2025-12-25,5.21,5.23,5.19,5.21,98695528
2025-12-26,5.21,5.22,5.19,5.19,98959808
2025-12-29,5.19,5.26,5.18,5.22,179725449
2025-12-30,5.21,5.22,5.15,5.16,194002574
2025-12-31,5.16,5.17,5.13,5.13,140127833
2026-01-05,5.14,5.15,5.11,5.15,224038079
2026-01-06,5.15,5.19,5.13,5.19,240308206
2026-01-07,5.2,5.23,5.17,5.19,207766691
2026-01-08,5.18,5.2,5.15,5.19,148966099
2026-01-09,5.2,5.2,5.16,5.18,162780865
2026-01-12,5.18,5.2,5.17,5.19,180094907
2026-01-13,5.19,5.23,5.18,5.19,221978137
2026-01-14,5.18,5.2,5.13,5.14,292146353
2026-01-15,5.14,5.15,5.1,5.11,192660040
2026-01-16,5.12,5.19,5.1,5.11,298752356
2026-01-19,5.1,5.1,5.04,5.05,273439878
2026-01-20,5.05,5.17,5.04,5.14,349372987
2026-01-21,5.14,5.15,5.07,5.08,258181805
2026-01-22,5.09,5.14,5.07,5.08,219273732
2026-01-23,5.09,5.1,5.05,5.06,264812304
2026-01-26,5.06,5.11,5.05,5.09,338603129
2026-01-27,5.08,5.1,5.02,5.02,302034174
2026-01-28,5.03,5.11,4.95,4.96,662045677
2026-01-29,4.99,5.06,4.9,5.04,830361378
2026-01-30,5.02,5.11,5.01,5.04,535192322
2026-02-02,5.05,5.07,4.93,4.94,416896757
2026-02-03,4.97,5.01,4.94,4.98,257920387
2026-02-04,4.97,5.16,4.96,5.14,583550372
2026-02-05,5.15,5.19,5.12,5.15,278368506
2026-02-06,5.13,5.15,5.07,5.07,270449501
2026-02-09,5.1,5.13,5.08,5.11,169087929
2026-02-10,5.11,5.11,5.07,5.08,150218744
2026-02-11,5.08,5.09,5.06,5.08,130870793
2026-02-12,5.08,5.08,5.03,5.04,194243296
2026-02-13,5.04,5.05,4.99,5.0,238168984
2026-02-24,5.03,5.06,5.02,5.05,180493788
2026-02-25,5.05,5.16,5.01,5.03,649049360
2026-02-26,5.04,5.08,5.01,5.03,213731492
2026-02-27,5.03,5.06,5.02,5.04,266426322
2026-03-02,5.01,5.08,5.0,5.04,393108809
2026-03-03,5.04,5.09,5.01,5.04,404170242
2026-03-04,5.02,5.03,4.94,4.97,478012304
2026-03-05,4.99,5.02,4.95,5.0,262669624
2026-03-06,4.99,5.06,4.97,5.05,290415554
2026-03-09,5.02,5.04,5.0,5.01,325409983
2026-03-10,5.02,5.05,4.99,5.03,295644021
2026-03-11,5.03,5.13,5.01,5.13,477090514
2026-03-12,5.12,5.15,5.1,5.14,282817656
2026-03-13,5.13,5.2,5.13,5.15,386764786
2026-03-16,5.17,5.18,5.08,5.09,309401058
2026-03-17,5.09,5.16,5.09,5.11,269823340
2026-03-18,5.11,5.12,5.04,5.06,272515983
2026-03-19,5.04,5.07,5.02,5.03,218050791
2026-03-20,5.03,5.05,4.98,4.98,274484377
2026-03-23,4.96,4.97,4.82,4.84,494581880
2026-03-24,4.88,4.89,4.83,4.88,221718572
2026-03-25,4.89,4.97,4.87,4.97,265561683
2026-03-26,4.96,4.98,4.92,4.93,161002801
2026-03-27,4.9,4.94,4.9,4.93,167044748
2026-03-30,4.9,4.98,4.88,4.97,227019984
2026-03-31,4.96,5.05,4.95,5.01,269276992
2026-04-01,5.04,5.06,5.0,5.02,175271841
2026-04-02,5.01,5.04,4.99,5.03,171236802
2026-04-03,5.02,5.03,4.98,5.0,124313503
2026-04-07,5.0,5.01,4.95,4.97,134149900
2026-04-08,5.0,5.03,4.98,5.03,229091256
2026-04-09,5.01,5.01,4.96,4.96,150503717
2026-04-10,4.97,4.99,4.96,4.97,139912092
2026-04-13,4.95,4.96,4.91,4.92,162023874
