date,open,high,low,close,volume
2024-12-02,5.34,5.45,5.32,5.43,34584321
2024-12-03,5.43,5.45,5.37,5.45,31443947
2024-12-04,5.44,5.56,5.41,5.49,36224711
2024-12-05,5.45,5.47,5.37,5.39,38911821
2024-12-06,5.38,5.48,5.38,5.47,29238102
2024-12-09,5.47,5.53,5.45,5.48,28375691
2024-12-10,5.57,5.6,5.47,5.48,37635802
2024-12-11,5.46,5.56,5.46,5.56,35138774
2024-12-12,5.55,5.59,5.52,5.57,24892597
2024-12-13,5.55,5.57,5.44,5.44,36595474
2024-12-16,5.45,5.52,5.44,5.48,26214201
2024-12-17,5.48,5.52,5.4,5.44,23457633
2024-12-18,5.47,5.55,5.47,5.48,25334303
2024-12-19,5.46,5.48,5.36,5.44,27562000
2024-12-20,5.41,5.44,5.36,5.37,22106470
2024-12-23,5.37,5.49,5.37,5.41,32247828
2024-12-24,5.4,5.54,5.4,5.51,29265348
2024-12-25,5.52,5.55,5.48,5.53,18259600
2024-12-26,5.52,5.53,5.45,5.46,19781000
2024-12-27,5.48,5.53,5.45,5.52,23930915
2024-12-30,5.53,5.59,5.51,5.56,29278181
2024-12-31,5.57,5.6,5.46,5.47,28845992
2025-01-02,5.47,5.51,5.3,5.36,43787406
2025-01-03,5.36,5.53,5.36,5.38,44248577
2025-01-06,5.39,5.44,5.32,5.4,31302860
2025-01-07,5.4,5.47,5.37,5.42,20548335
2025-01-08,5.42,5.53,5.38,5.46,37990788
2025-01-09,5.46,5.46,5.3,5.3,35398481
2025-01-10,5.31,5.33,5.24,5.28,23179020
2025-01-13,5.3,5.38,5.28,5.31,26567374
2025-01-14,5.3,5.41,5.26,5.4,40136365
2025-01-15,5.38,5.49,5.36,5.47,39110040
2025-01-16,5.52,5.58,5.5,5.55,40101568
2025-01-17,5.55,5.65,5.5,5.63,46648785
2025-01-20,5.63,5.66,5.51,5.52,34220900
2025-01-21,5.53,5.54,5.34,5.35,48516795
2025-01-22,5.34,5.36,5.27,5.31,27518125
2025-01-23,5.33,5.4,5.31,5.31,28651794
2025-01-24,5.31,5.38,5.29,5.35,26987686
2025-01-27,5.36,5.49,5.36,5.4,38095534
2025-02-05,5.41,5.43,5.26,5.29,45414444
2025-02-06,5.26,5.31,5.25,5.3,28273507
2025-02-07,5.3,5.34,5.26,5.31,37458339
2025-02-10,5.31,5.33,5.29,5.29,32841240
2025-02-11,5.3,5.35,5.26,5.28,37256201
2025-02-12,5.27,5.29,5.22,5.27,34617842
2025-02-13,5.25,5.28,5.23,5.24,29146212
2025-02-14,5.24,5.25,5.18,5.19,32535211
2025-02-17,5.2,5.2,5.13,5.16,39196843
2025-02-18,5.16,5.2,5.11,5.13,35808043
2025-02-19,5.12,5.28,5.06,5.15,89474755
2025-02-20,5.1,5.1,5.05,5.06,56946933
2025-02-21,5.06,5.08,5.01,5.05,37580821
2025-02-24,5.03,5.07,5.01,5.05,32470322
2025-02-25,5.04,5.07,5.0,5.03,27466712
2025-02-26,5.03,5.05,5.02,5.04,25227258
2025-02-27,5.04,5.07,5.01,5.06,33835307
2025-02-28,5.06,5.14,5.05,5.09,57368500
2025-03-03,5.1,5.19,5.07,5.08,41709502
2025-03-04,5.07,5.08,5.03,5.05,22529919
2025-03-05,5.05,5.06,4.99,5.01,30663351
2025-03-06,5.0,5.02,4.96,4.99,44821261
2025-03-07,4.98,5.02,4.97,4.99,28669936
2025-03-10,4.98,5.02,4.97,5.02,25104398
2025-03-11,4.99,5.07,4.97,5.07,29699604
2025-03-12,5.09,5.09,5.04,5.05,23853315
2025-03-13,5.06,5.13,5.06,5.13,48253043
2025-03-14,5.18,5.38,5.17,5.34,132475638
2025-03-17,5.46,5.73,5.46,5.5,165905254
2025-03-18,5.55,5.68,5.51,5.61,128467860
2025-03-19,5.65,5.68,5.56,5.6,77858328
2025-03-20,5.62,5.88,5.62,5.78,149585535
2025-03-21,5.88,6.36,5.83,6.2,344694734
2025-03-24,6.37,6.39,6.05,6.27,271033026
2025-03-25,6.09,6.22,6.04,6.1,165053429
2025-03-26,6.08,6.22,6.0,6.04,123273403
2025-03-27,6.02,6.06,5.87,5.92,115619372
2025-03-28,5.89,5.9,5.76,5.78,87824891
2025-03-31,5.72,5.77,5.67,5.7,60926295
2025-04-01,5.75,5.84,5.68,5.7,58076503
2025-04-02,5.68,5.73,5.64,5.68,48832998
2025-04-03,5.62,5.65,5.57,5.61,46587647
2025-04-07,5.27,5.3,5.05,5.05,89439863
2025-04-08,5.06,5.22,5.02,5.17,89553357
2025-04-09,5.17,5.35,5.05,5.32,97503394
2025-04-10,5.37,5.44,5.29,5.39,80313795
2025-04-11,5.34,5.37,5.28,5.31,55649760
2025-04-14,5.35,5.4,5.32,5.37,45374708
2025-04-15,5.35,5.36,5.27,5.33,32637276
2025-04-16,5.3,5.31,5.2,5.28,41911880
2025-04-17,5.28,5.34,5.26,5.31,30480750
2025-04-18,5.29,5.41,5.29,5.37,38584600
2025-04-21,5.32,5.39,5.31,5.38,31674196
2025-04-22,5.36,5.4,5.35,5.37,30443300
2025-04-23,5.38,5.45,5.36,5.43,37351800
2025-04-24,5.41,5.54,5.41,5.45,46665253
2025-04-25,5.47,5.52,5.44,5.47,31469100
2025-04-28,5.52,5.52,5.37,5.42,36624022
2025-04-29,5.4,5.47,5.33,5.36,42983600
2025-04-30,5.36,5.37,5.3,5.31,39831471
2025-05-06,5.32,5.35,5.27,5.34,70882693
2025-05-07,5.38,5.46,5.38,5.42,65507477
2025-05-08,5.22,5.25,5.16,5.19,45212708
2025-05-09,5.21,5.23,5.14,5.16,38433774
2025-05-12,5.18,5.28,5.17,5.23,46570437
2025-05-13,5.27,5.3,5.23,5.25,35157663
2025-05-14,5.27,5.29,5.22,5.28,42597884
2025-05-15,5.26,5.28,5.22,5.23,30329600
2025-05-16,5.22,5.25,5.18,5.19,26444580
2025-05-19,5.19,5.22,5.17,5.2,22770408
2025-05-20,5.2,5.32,5.18,5.28,52903835
2025-05-21,5.28,5.29,5.24,5.25,25213822
2025-05-22,5.23,5.25,5.18,5.18,31815707
2025-05-23,5.19,5.24,5.15,5.15,32563600
2025-05-26,5.15,5.21,5.14,5.19,25805901
2025-05-27,5.19,5.21,5.17,5.18,17478927
2025-05-28,5.18,5.27,5.17,5.26,41112215
2025-05-29,5.26,5.29,5.24,5.26,25695137
