date,open,high,low,close,volume
2024-12-02,4.77,4.93,4.76,4.89,40525814
2024-12-03,4.9,4.91,4.83,4.88,21054570
2024-12-04,4.88,4.89,4.82,4.85,20027449
2024-12-05,4.82,4.86,4.76,4.78,29251990
2024-12-06,4.79,4.9,4.78,4.89,32202258
2024-12-09,4.89,4.91,4.82,4.84,23500923
2024-12-10,4.96,4.99,4.81,4.82,34027951
2024-12-11,4.83,4.86,4.8,4.83,24560514
2024-12-12,4.84,4.85,4.78,4.8,30483999
2024-12-13,4.78,4.79,4.69,4.7,32938334
2024-12-16,4.7,4.72,4.62,4.64,22747707
2024-12-17,4.67,4.67,4.53,4.55,33690427
2024-12-18,4.55,4.69,4.54,4.62,31876034
2024-12-19,4.58,4.63,4.54,4.62,19652308
2024-12-20,4.62,4.63,4.54,4.56,20549471
2024-12-23,4.55,4.58,4.49,4.52,26304729
2024-12-24,4.52,4.67,4.5,4.61,30487346
2024-12-25,4.73,4.79,4.47,4.52,46171771
2024-12-26,4.5,4.56,4.48,4.51,22098584
2024-12-27,4.52,4.54,4.48,4.5,22675306
2024-12-30,4.5,4.54,4.45,4.5,31743455
2024-12-31,4.51,4.52,4.39,4.4,32113306
2025-01-02,4.37,4.41,4.2,4.23,35758040
2025-01-03,4.24,4.31,4.22,4.23,37587729
2025-01-06,4.23,4.26,4.19,4.24,27569479
2025-01-07,4.23,4.25,4.16,4.2,18374868
2025-01-08,4.2,4.2,4.06,4.15,27341855
2025-01-09,4.14,4.18,4.08,4.1,17688408
2025-01-10,4.09,4.14,4.07,4.07,18914915
2025-01-13,4.05,4.09,4.02,4.07,21897235
2025-01-14,4.08,4.22,4.06,4.21,30327878
2025-01-15,4.21,4.21,4.14,4.16,16168899
2025-01-16,4.17,4.24,4.13,4.15,24280750
2025-01-17,4.16,4.18,4.12,4.15,16382496
2025-01-20,4.17,4.24,4.1,4.11,24789672
2025-01-21,4.15,4.15,4.07,4.08,18413965
2025-01-22,4.08,4.09,4.02,4.06,24917330
2025-01-23,4.08,4.17,4.05,4.06,23634124
2025-01-24,4.06,4.13,4.04,4.1,23632983
2025-01-27,4.1,4.16,4.08,4.08,22313458
2025-02-05,4.11,4.12,4.05,4.08,21939483
2025-02-06,4.07,4.13,4.04,4.12,24069620
2025-02-07,4.11,4.17,4.1,4.14,38718860
2025-02-10,4.14,4.17,4.12,4.14,30302520
2025-02-11,4.15,4.15,4.09,4.13,20662587
2025-02-12,4.12,4.15,4.09,4.14,18623088
2025-02-13,4.13,4.15,4.07,4.08,27753655
2025-02-14,4.09,4.09,4.05,4.07,25776767
2025-02-17,4.1,4.12,4.06,4.09,27472902
2025-02-18,4.09,4.1,4.02,4.05,24599116
2025-02-19,4.05,4.13,4.03,4.12,35389503
2025-02-20,4.13,4.13,4.06,4.06,26478157
2025-02-21,4.07,4.12,4.05,4.12,29997706
2025-02-24,4.12,4.19,4.12,4.17,47095730
2025-02-25,4.16,4.18,4.09,4.13,25500672
2025-02-26,4.13,4.21,4.13,4.2,37530369
2025-02-27,4.2,4.22,4.14,4.21,31654108
2025-02-28,4.2,4.2,4.1,4.12,33567793
2025-03-03,4.11,4.22,4.11,4.14,40895177
2025-03-04,4.13,4.19,4.12,4.16,23015385
2025-03-05,4.16,4.28,4.15,4.26,56264528
2025-03-06,4.26,4.27,4.19,4.22,56503381
2025-03-07,4.21,4.27,4.19,4.24,41747414
2025-03-10,4.24,4.25,4.18,4.19,29606851
2025-03-11,4.16,4.22,4.13,4.21,29862456
2025-03-12,4.22,4.23,4.18,4.2,22659089
2025-03-13,4.18,4.2,4.11,4.14,29390802
2025-03-14,4.15,4.22,4.13,4.21,28782481
2025-03-17,4.21,4.29,4.21,4.26,35218121
2025-03-18,4.27,4.29,4.24,4.27,23010877
2025-03-19,4.26,4.27,4.22,4.24,16968200
2025-03-20,4.23,4.37,4.22,4.31,47464828
2025-03-21,4.29,4.47,4.29,4.37,60477443
2025-03-24,4.4,4.47,4.24,4.32,54662536
2025-03-25,4.31,4.44,4.29,4.35,40737299
2025-03-26,4.33,4.41,4.3,4.38,36649455
2025-03-27,4.36,4.41,4.3,4.32,37306661
2025-03-28,4.31,4.34,4.23,4.25,29565902
2025-03-31,4.25,4.31,4.21,4.24,33037444
2025-04-01,4.24,4.32,4.22,4.29,34898473
2025-04-02,4.28,4.36,4.25,4.34,33887758
2025-04-03,4.31,4.39,4.3,4.33,27584468
2025-04-07,4.15,4.18,3.81,3.87,62259178
2025-04-08,3.92,4.1,3.9,4.05,57435299
2025-04-09,4.02,4.11,3.92,4.1,40209387
2025-04-10,4.12,4.19,4.09,4.13,41775482
2025-04-11,4.11,4.13,4.05,4.1,32185011
2025-04-14,4.13,4.2,4.1,4.13,25641545
2025-04-15,4.13,4.14,4.09,4.12,17853793
2025-04-16,4.13,4.15,4.08,4.14,21679749
2025-04-17,4.12,4.15,4.11,4.11,13816277
2025-04-18,4.1,4.13,4.09,4.11,14848318
2025-04-21,4.12,4.15,4.1,4.11,14961378
2025-04-22,4.11,4.15,4.1,4.13,14173457
2025-04-23,4.13,4.16,4.12,4.14,18515495
2025-04-24,4.14,4.14,4.08,4.12,17489397
2025-04-25,4.12,4.19,4.11,4.17,22945168
2025-04-28,4.17,4.19,4.09,4.1,20383966
2025-04-29,4.09,4.1,3.98,3.99,34883669
2025-04-30,4.0,4.01,3.91,3.91,30030753
2025-05-06,3.94,3.97,3.92,3.95,27765247
2025-05-07,3.98,4.02,3.95,3.98,23050807
2025-05-08,3.97,4.01,3.95,4.0,19524156
2025-05-09,4.0,4.01,3.96,3.97,14924365
2025-05-12,3.98,4.07,3.97,4.04,25639162
2025-05-13,4.05,4.06,4.02,4.02,20633596
2025-05-14,4.02,4.06,4.0,4.04,17770089
2025-05-15,4.04,4.05,3.98,3.98,21130919
2025-05-16,3.98,4.0,3.94,3.95,16988397
2025-05-19,3.95,3.97,3.93,3.95,16193736
